SKU,Name,Category,Supplier,Quantity,Reorder Level,Unit Price,Status,Last Updated
ELEC-003,27-inch Monitor,Electronics,TechCore Distributors,20,5,299.00,In Stock,2026-07-04T11:55:57.578689
FURN-003,3-Drawer Filing Cabinet,Furniture,OfficeWorld Supply Co.,8,4,119.50,In Stock,2026-07-04T11:55:57.578697
OFFC-001,A4 Paper Ream 500-Sheet,Office Supplies,OfficeWorld Supply Co.,200,50,5.99,In Stock,2026-07-04T11:55:57.578692
OFFC-002,Ballpoint Pen Box 50,Office Supplies,OfficeWorld Supply Co.,30,20,8.49,In Stock,2026-07-04T11:55:57.578692
FURN-001,Ergonomic Office Chair,Furniture,OfficeWorld Supply Co.,10,3,249.00,In Stock,2026-07-04T11:55:57.578695
ELEC-004,Laptop Stand Aluminium,Electronics,TechCore Distributors,3,15,27.50,Low Stock,2026-07-04T11:55:57.578690
CLEN-002,Microfibre Cloth Pk10,Cleaning,,3,10,7.50,Low Stock,2026-07-04T11:55:57.578698
CLEN-001,Multi-Surface Spray 5L,Cleaning,CleanPro Industries,40,20,12.99,In Stock,2026-07-04T11:55:57.578698
FURN-002,Standing Desk 140cm,Furniture,OfficeWorld Supply Co.,2,2,549.00,Low Stock,2026-07-04T11:55:57.578696
OFFC-003,Stapler Heavy Duty,Office Supplies,OfficeWorld Supply Co.,5,10,14.99,Low Stock,2026-07-04T11:55:57.578693
OFFC-004,Sticky Notes 3x3 Pk12,Office Supplies,OfficeWorld Supply Co.,18,15,3.75,In Stock,2026-07-04T11:55:57.578694
SKU-TEST-XXX,Test Product X,New Category Alpha,,70,10,19.99,In Stock,2026-07-04T12:00:15.592091
ELEC-001,USB-C Hub 7-Port,Electronics,TechCore Distributors,55,10,34.99,In Stock,2026-07-04T11:59:27.600620
ELEC-005,Webcam 1080p,Electronics,TechCore Distributors,12,8,65.00,In Stock,2026-07-04T11:55:57.578691
OFFC-005,Whiteboard Markers Pk8,Office Supplies,OfficeWorld Supply Co.,6,10,6.20,Low Stock,2026-07-04T11:55:57.578695
ELEC-002,Wireless Keyboard,Electronics,TechCore Distributors,8,10,49.99,Low Stock,2026-07-04T11:55:57.578688
